HotelName,HotelDescription,PriceRange
Camp Inn Hotel Amsterdam,"Property Location With a stay at Camp Inn Hotel Amsterdam in Amsterdam (Amsterdam West), you'll be within a 5-minute drive of Anne Frank House and Royal Palace. This hotel is 2.1 miNonrefundable",EUR 33 - EUR 67
A 11 HOTEL,"Property Location With a stay at Lonicera World - All Inclusive in Alanya (Avsallar), you'll be convenient to Sealanya. This 4-star hotel is within the vicinity of Konakli Mosque and Konakli Clock Tower Square.Rooms Make yourself at home in one of the 823 guestrooms featuring minibars and LCD televisions. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Bathrooms have showers and hair dryers. Conveniences include phones and laptop-compatible safes, and housekeeping is provided daily.Rec, Spa, Premium Amenities Pamper yourself with onsite massages and facials. You're sure to appreciate the recreational amenities, which include 5 outdoor swimming pools, outdoor tennis courts, and a lazy river. Additional features include complimentary wireless Internet access, an arcade/game room, and gift shops/newsstands.Dining This hotel is all inclusive. Rates include meals and beverages at onsite dining establishments. Charges may be applied for dining at some restaurants, special dinners and dishes, some beverages, and other amenities. Satisfy your appetite at one of the hotel's 3 restaurants. Thirsty? Quench your thirst at one of the 3 bars/lounges or 4 poolside bars. Business, Other Amenities Featured amenities include a 24-hour front desk, multilingual staff, and an elevator (lift). Free self parking is",EUR 0 - EUR 0
Dinc,"With a stay at Dinc Hotel in Antalya (Lara), you'll be a 1-minute drive from Lara Beach and 5 minutes from Lower Düden Falls. This hotel is 4.1 mi (6.5 km) from Shemall Shopping Center and 9 mi (14.5 km) from Clock Tower.",EUR 20 - EUR 40
Claridge,"With a stay at Claridge Hotel, you'll be centrally located in Athens, just a 4-minute walk from Omonia Square and 13 minutes by foot from Syntagma Square. This hotel is 0.4 mi (0.6 km) from National Archaeological Museum of Athens and 1.6 mi (2.6 km) from Acropolis Museum.",EUR 27 - EUR 54
Ambelokipi Place,"Property Location With a stay at this apartment in Athens (Athens City Centre), you'll be a 5-minute drive from Benaki Museum and 6 minutes from Hellenic Parliament. This apartmentNonrefundable",EUR 28 - EUR 56
Dionis,"Property Location With a stay at Dionis in Varna, youll be minutes from Dormition of the Theotokos Cathedral and Varna Archaelogical Museum. This hotel is within close proximity of National Naval Museum and Primorski Park.Rooms Make yourself at home in one of the 17 air-conditioned guestrooms. Rooms have private balconies. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Private bathrooms with shower/tub combinations feature deep soaking bathtubs and complimentary toiletries.Amenities Make use of convenient amenities, which include complimentary wireless Internet access and concierge services. Guests can catch a ride to nearby destinations on the area shuttle (surcharge).Dining Take advantage of the hotels 24-hour room service. Quench your thirst with your favorite drink at a bar/lounge.Business, Other Amenities Featured amenities include dry cleaning/laundry services, a 24-hour front desk, and multilingual staff. A roundtrip airport shuttle is provided for a surcharge (available 24 hours), and free self parking is available onsite.",EUR 40 - EUR 81
Fotis Lux Apartments,"Property Location With a stay at Fotis Lux Apartments in Athens (Attiki), you'll be within a 5-minute drive of National Archaeological Museum of Athens and Monastiraki Flea Market. Nonrefundable",EUR 30 - EUR 61
Elisabethpark,"This classical hotel with its refined ambiance is centrally loacted in Bad Gastein. In the panoramic restaurant of the hotel guests can select from an extensive range of breakfast otpions. During the day you meet in the cafe Sissi to watch the bustle on the street. In the evening you can endulge in a coctail at the hotel bar to end the perfect day. To relax take advantage of the hotel wellness area with its numerous facilities.Center: Bad Gastein 10 m, Public indoor pool: Thermal bath Bad Gastein 1 km, Shopping: Bad Gastein 20 m, Train station: Bad Gastein 1 km, Airport: Salzburg 90 km, Ski lift: Chair lift 1 km.Reception, Reception area: Luxurious with marble, Hotel-Lobby with gallery, WLAN: free throughout the house, Bicycle storage, 5 lifts, Garage: payable on site, Available at the reception for hotel guests are discount tickets for the neighbouring hotel's APCOA parking garage for the duration of your stay, Euro 12,- instead of 25,- per day, Panoramic restaurant, à la Carte restaurant with wine bar 'Prälatur', Wine and Beer Bar 'Prälatur' in the Restaurant, Café 'Sissi', Terrace, Garden: 7.500 m² hotel parklands with sunning lawn and umbrellas, Lawn, Umbrellas, Deckchairs, Seminar Room.2bed bath/shower/WC, ~",EUR 168 - EUR 336
Club Mermaid Village,"Propery consist of 5 Blocks most of the mountain -garden and pool views, a total of 204 rooms. LOCATION: Alanya 16 km, Airport 110 km, Avsallar Town 3 km, Konakl¿ Town 5 km. 600 m from the sea side. (free shuttle service).",EUR 52 - EUR 105
Mozart,"The Hotel Mozart is a family-run hotel right in the center.Center: Bad Gastein 50 m, Public indoor pool: Thermal Spa Bad Gastein 800 m, Shopping: Bad Gastein 50 m, Train station: Bad Gastein 800 m, Airport: Salzburg 90 km, Resort Altitude: 1000 m, Public outdoor pool/lake: Lake 1 km.Reception, Various Public rooms, Reading corner, TV room, Taunus Bar, Bicycle storage, Lift, Parking: free of charge (private), Dining room, à la Carte restaurant, Bar, Café, Terrace, Garden.2-3 bed bath / WC / balcony, panorama, with double occupancy only 2 beds, ~ 30 m², 2-4 bed bath / shower / WC / balcony, panorama, with double occupancy or triple occupancy only 2 or 3 beds, ~ 40 m², 1 bed bath/shower/toilet/balcony, Panorama, ~ 20 m², 2 bed bath/shower/WC, ~ 25 m².Tourist tax: Euro 2,70 per person/night (+ 15 years).sauna area: ~ 50 m², Access for children under 12 years only when accompanied by adults permitted. Steam bath, Sauna, Infra-red cabin, Relaxation room, showers, Opening hours: daily from 16:00 hours to 21:00 hours.Massages; thermal bath pool, opening times and prices see information posted locally.Half-Board, Breakfast Buffet, Dinner (3 courses): with choice of the main course, Salad bar, dietary: Dietry cuisine available on request,",EUR 104 - EUR 209
