hotel name,other,description,additional informations,other,hotel name,description,rating,rating,other,address,city,additional informations,city,check-in hours,location,check-in hours,additional informations
Bernini Palace,Galleria fotografica per Bernini Palace,,"Reception              Terrazza/patio              Two levels Duplex Family Room | Bagno | Doccia, set di cortesia firmato, asciugacapelli, bidet              Hall",127+,Panoramica di Bernini Palace,"Hotel di lusso con ristorante, non lontano da Galleria degli Uffizi","9,6",,Vedi tutte le 1.002 recensioni,"Piazza San Firenze 29, Florence, FI, 50122",Galleria degli Uffizi,3 min a piedi,Cattedrale di Santa Maria del Fiore,6 min a piedi,,14 min a piedi,Firenze (FLR-Peretola)   32 min in auto
Argentina Residenza Style Hotel,Galleria fotografica per Argentina Residenza Style Hotel,"Minibar, cassaforte in camera, una scrivania, insonorizzazione","Camera Superior con letto matrimoniale o 2 letti singoli (Annex Separate Building) | Vista dalla camera              Vasca da bagno a immersione totale              Camera Superior con letto matrimoniale o 2 letti singoli (Annex Separate Building) | Minibar, cassaforte in camera, una scrivania, insonorizzazione              Bar (in loco)",79+,Panoramica di Argentina Residenza Style Hotel,"Hotel elegante con bar/lounge, non lontano da Piazza Navona","9,6",,Vedi tutte le 550 recensioni,"Via di Torre Argentina 47, Rome, RM, 186",Piazza Navona,8 min a piedi,Fontana di Trevi,14 min a piedi,Colosseo,,Roma (CIA-Ciampino)   35 min in auto
Luxury Suites Collection - Shantung,,,,,,,,,,,,,,,,,
W Rome,Galleria fotografica per W Rome,"Suite, 1 letto king, non fumatori, terrazzo | Biancheria da letto ipoallergenica, minibar, cassaforte in camera","Suite, 1 letto king, non fumatori, terrazzo | Biancheria da letto ipoallergenica, minibar, cassaforte in camera              Suite, 1 letto king, non fumatori, terrazzo | Biancheria da letto ipoallergenica, minibar, cassaforte in camera              Ristorante              Soffione a pioggia, set di cortesia gratuito, asciugacapelli",148+,Panoramica di W Rome,"Hotel di lusso con 2 bar/lounge, non lontano da Fontana di Trevi","9,0",Meraviglioso,Vedi tutte le 39 recensioni,"26/36 Via Liguria, Rome, 187",Scalinata di Piazza di Spagna,8 min a piedi,Fontana di Trevi,10 min a piedi,Piazza Navona,5 min in auto,Roma (FCO-Fiumicino - Leonardo da Vinci Int.)   39 min in auto
Duodo Palace Hotel,Galleria fotografica per Duodo Palace Hotel,"Camera Deluxe, vista canale | Biancheria da letto di alta qualità, minibar, una cassaforte in camera","Servizio della struttura              Dettaglio esterni              Suite Junior, vista canale | Biancheria da letto di alta qualità, minibar, una cassaforte in camera              Colazione a buffet, servita tutte le mattine (25 EUR a persona)",61+,Panoramica di Duodo Palace Hotel,"Hotel elegante con bar/lounge, non lontano da Piazza San Marco","8,4",Ottimo,Vedi tutte le 677 recensioni,"San Marco 1887/1888 Calle Minelli, Venice, VE, 30124",Piazza San Marco,6 min a piedi,Piazzale Roma,48 min in auto,Canal Grande,48 min in auto,
Hotel Leonardo Da Vinci,Galleria fotografica per Hotel Leonardo Da Vinci,Terrazza/patio,"Ristorante              Facciata della struttura              Minibar, una cassaforte in camera, una scrivania, postazione laptop              Ristorante",26+,Panoramica di Hotel Leonardo Da Vinci,"Hotel nel centro della città, a pochi passi da Fortezza da Basso","9,2",Meraviglioso,Vedi tutte le 437 recensioni,"Via G. Monaco, 12, Florence, FI, 50144",,17 min a piedi,Centro storico,5 min in auto,Ponte Vecchio,8 min in auto,Firenze (FLR-Peretola)   23 min in auto
"Sina Bernini Bristol, Autograph Collection","Galleria fotografica per Sina Bernini Bristol, Autograph Collection",,"Bar (in loco)              Suite Junior, 1 camera da letto (Urban) | Biancheria da letto di alta qualità, minibar, una cassaforte in camera              Aperto a pranzo e cena, cucina internazionale              Sala per riunioni",95+,"Panoramica di Sina Bernini Bristol, Autograph Collection","Hotel di lusso con ristorante, non lontano da Fontana di Trevi","8,2",Ottimo,Vedi tutte le 503 recensioni,"Piazza Barberini 23, Rome, RM, 187",Fontana di Trevi,8 min a piedi,Piazza Navona,19 min a piedi,Colosseo,3 min in auto,Roma (CIA-Ciampino)   35 min in auto
Residenza degli Angeli,Galleria fotografica per Residenza degli Angeli,Dettaglio interni,"Vista giardino              Facciata della struttura              Culle/letti per bambini (gratuiti), Wi-Fi gratuito, lenzuola              Colazione continentale inclusa, servita tutte le mattine",51+,Panoramica di Residenza degli Angeli,"Bed and breakfast nel centro della città, non lontano da Ponte di Rialto","9,0",Meraviglioso,Vedi tutte le 926 recensioni,"S.Croce 2325, Ca' Bragadin al Cristo, Venice, VE, 30135",Piazza San Marco,,Piazzale Roma,16 min a piedi,Canal Grande,16 min a piedi,
Martis Palace Hotel,Galleria fotografica per Martis Palace Hotel,,,90+,Panoramica di Martis Palace Hotel,"Hotel boutique, con collegamento al centro congressi e spa completamente attrezzata, vicino a Piazza Navona","9,6",,Vedi tutte le 352 recensioni,"Via San Giuseppe Calasanzio 1, Rome, Roma, 186",Piazza Navona,4 min a piedi,Fontana di Trevi,,Scalinata di Piazza di Spagna,19 min a piedi,Roma (CIA-Ciampino)   40 min in auto
UNAHOTELS Napoli,Galleria fotografica per UNAHOTELS Napoli,Ingresso della struttura,"Facciata della struttura              Terrazza/patio              Biancheria da letto di alta qualità, copriletto in piuma              Aperto a colazione e pranzo, cucina italiana, con tavoli all'aperto",63+,Panoramica di UNAHOTELS Napoli,"Hotel per amanti dell'avventura, con collegamento al centro congressi e ristorante, vicino a Via Toledo","8,8",Eccellente,Vedi tutte le 1.004 recensioni,"Piazza Garibaldi, 9/10, Naples, NA, 80142",Spaccanapoli,5 min a piedi,Museo Archeologico Nazionale di Napoli,2 min in auto,Porto di Napoli,4 min in auto,Napoli (NAP-Napoli Intl.)   32 min in auto
