advertisement title,location,location,location,location,other,price,surface,number of rooms,advertisement title,Price,id,id,location,location,broker,id,number of floors,floors,surface,other,number of rooms,Heating system,Heating system,price,other,price,Price,location,other,other
"vendita Casa a Roma in Via Cigliè, Piana del Sole 62/2022 | Toscano",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"vendita Casa a Firenze in Piazza Dalmazia Pressi, Piazza Dalmazia 28/2023 | Toscano",Provincia di Firenze,Firenze,Piazza Dalmazia Pressi,"Casa a Firenze in Piazza Dalmazia Pressi, Piazza Dalmazia",Rif. 28/2023,269.000 Euro,70 mq,3 locali,"Casa a Firenze in Piazza Dalmazia Pressi (zona Statuto, Rifredi, Firenze Nova) - Rif. 28/2023",Piena proprietà 269.000 euro 70 mq 3 locali - Piazza Dalmazia,3385247956.0,55357506.0,Statuto,"Firenze Via G.B. Lulli, 22R/24R",Punto Immobiliare Novoli I.C. S.r.l.,55357506.0,Signorile di 5 piani,3,70.0,16.0,2 Balconi,Ottimo,Centralizzato,130€ (mensili),108 Kwh/mq anno,Mutuo: 188.300 €,1.450.000 euro,Bellosguardo,195.0,5.0
"vendita Casa a Firenze in Interni baracca, Polo Universitario 10/2023 | Toscano",Provincia di Firenze,Firenze,Interni baracca,"Casa a Firenze in Interni baracca, Polo Universitario",Rif. 10/2023,199.000 Euro,60 mq,2 locali,"Casa a Firenze in Interni baracca (zona Novoli, Baracca) - Rif. 10/2023",Piena proprietà 199.000 euro 60 mq 2 locali - Polo Universitario,3385247956.0,55357506.0,Novoli,"Firenze Via G.B. Lulli, 22R/24R",Punto Immobiliare NOVOLI I.C. srl,55357506.0,Signorile di 6 piani,1,60.0,10.0,1 Terrazzo,Buono,Centralizzato,130€ (mensili),"116,58 Kwh/mq anno",Mutuo: 139.300 €,538.000 euro,Via del romito,143.0,7.0
"vendita Casa a Roma in Via della Fotografia, Roma 70 37/2023 | Toscano",Provincia di Roma,Roma,Via della Fotografia,"Casa a Roma in Via della Fotografia, Roma 70",Rif. 37/2023,270.000 Euro,70 mq,3 locali,"Casa a Roma in Via della Fotografia (zona Colombo, Ardeatino) - Rif. 37/2023",Piena proprietà 270.000 euro 70 mq 3 locali - Roma 70,3403606070.0,65922974.0,EUR,"Viale Europa, 317",Toscano SpA,65922974.0,Media Signorile di 2 piani,Terra,70.0,80.0,"1 Balcone, 1 Terrazzo, 1 Giardino",Ottimo,Autonomo,55€ (mensili),175 Kwh/mq anno,Mutuo: 189.000 €,149.000 euro,Via Placanica,55.0,2.0
"vendita Villa Bifamiliare a Palermo in Viale Venere, Mondello 72/2023 | Toscano",Provincia di Palermo,,Viale Venere,"Villa Bifamiliare a Palermo in Viale Venere, Mondello",Rif. 72/2023,445.000 Euro,201 mq,,"Villa Bifamiliare a Palermo in Viale Venere (zona Mondello, Addaura, Olimpo, Partanna) - Rif. 72/2023",Piena proprietà 445.000 euro 201 mq 9 locali - Mondello,3401754090.0,916262022.0,,,,,,,,,,,,,,,,,,
"vendita Casa a Roma in Via Salvatore Gasbarra, Dragona 45/2023 | Toscano",Provincia di Roma,Roma,Via Salvatore Gasbarra,"Casa a Roma in Via Salvatore Gasbarra, Dragona",Rif. 45/2023,179.000 Euro,87 mq,4 locali,"Casa a Roma in Via Salvatore Gasbarra (zona Acilia, Dragona, Vitinia) - Rif. 45/2023",Piena proprietà 179.000 euro 87 mq 4 locali - Dragona,3938775186.0,65652421.0,Ostia Antica Dragona,"Viale Dei Romagnoli, 757",Punto Immobiliare Ostia Antica Srl.,65652421.0,Signorile di 2 piani,2,87.0,216.0,"2 Balconi, 1 Terrazzo, 1 Giardino",Buono,Autonomo,n/d,175 Kwh/mq anno,Mutuo: 125.300 €,379.000 euro,Via Giulio Tarra,105.0,3.0
"vendita Casa a Roma in Via Capo Bonifati, Ostia Levante 20/2022 | Toscano",Provincia di Roma,Roma,Via Capo Bonifati,"Casa a Roma in Via Capo Bonifati, Ostia Levante",Rif. 20/2022,435.000 Euro,130 mq,4 locali,Casa a Roma in Via Capo Bonifati (zona Ostia) - Rif. 20/2022,Piena proprietà 435.000 euro 130 mq 4 locali - Ostia Levante,3516011542.0,65685887.0,Ostia Levante,Via Diego Simonetti 71/73,Levante Immobiliare S.r.l.,65685887.0,Signorile di 3 piani,"Su più livelli: 2, 1, Terra",130.0,70.0,"3 Balconi, 1 Terrazzo, 1 Giardino",Buono,Autonomo,n/d,175 Kwh/mq anno,Mutuo: 304.500 €,199.000 euro,Via Cigliè,120.0,4.0
"vendita Casa a Roma in Via Placanica, Morena 25/2023 | Toscano",Provincia di Roma,Roma,Via Placanica,"Casa a Roma in Via Placanica, Morena",Rif. 25/2023,149.000 Euro,55 mq,2 locali,Casa a Roma in Via Placanica (zona Morena) - Rif. 25/2023,Piena proprietà 149.000 euro 55 mq 2 locali - Morena,3287023787.0,650173264.0,Morena,"Via Bruno dè Finetti, 128",Punto Immobiliare Morena S.r.l.,650173264.0,Ristrutturato di 2 piani,"Su più livelli: 2, 2, 2, 2, 1, 1, Terra, Terra",55.0,696.0,"12 Balconi, 4 Terrazzi, 2 Giardini",Ristrutturato,Autonomo,n/d,50 Kwh/mq anno,Mutuo: 104.300 €,,,,
"vendita Casa a Roma in Riserva Verde, Infernetto 136/2023 | Toscano",Provincia di Roma,Roma,Riserva Verde,"Casa a Roma in Riserva Verde, Infernetto",Rif. 136/2023,259.000 Euro,100 mq,4 locali,Casa a Roma in Riserva Verde (zona Infernetto) - Rif. 136/2023,Piena proprietà 259.000 euro 100 mq 4 locali - Infernetto,3426713490.0,650918028.0,Infernetto,Via Cilea 15D,Punto Immobiliare Infernetto S.r.l.,650918028.0,Signorile di 2 piani,"Su più livelli: Seminterrato, Rialzato",100.0,90.0,"1 Balcone, 1 Terrazzo, 1 Giardino",Buono,Autonomo,n/d,175 Kwh/mq anno,Mutuo: 181.300 €,179.000 euro,Via Salvatore Gasbarra,87.0,4.0
"vendita Casa a Torino in Pressi Piazza Adriano, Cenisia 1/2024 | Toscano",,Torino,Pressi Piazza Adriano,"Casa a Torino in Pressi Piazza Adriano, Cenisia",Rif. 1/2024,275.000 Euro,100 mq,4 locali,Casa a Torino in Pressi Piazza Adriano (zona Cenisia) - Rif. 1/2024,Piena proprietà 275.000 euro 100 mq 4 locali - Cenisia,,,Centro Torino,"Via Pietro Micca 5/A, Torino",Toscano SpA,115613050.0,Signorile di 9 piani,9,100.0,,2 Balconi,Buono,Centralizzato,140€ (mensili),"178,56 Kwh/mq anno",Mutuo: 192.500 €,78.000 euro,Pressi Piazza Santa Rita,65.0,2.0
"vendita Casa Indipendente a Firenze in Bellosguardo, Porta Romana 23/2023 | Toscano",Provincia di Firenze,Firenze,Bellosguardo,"Casa Indipendente a Firenze in Bellosguardo, Porta Romana",Rif. 23/2023,1.450.000 Euro,195 mq,5 locali,"Casa Indipendente a Firenze in Bellosguardo (zona Oltrarno, San Niccolò) - Rif. 23/2023",Piena proprietà 1.450.000 euro 195 mq 5 locali - Porta Romana,3456451959.0,55288800.0,Centro Firenze,"Lungarno Guicciardini, 15/R",Toscano SpA,55288800.0,Ristrutturato di 1 piano,"Su più livelli: 1, Terra",195.0,123.0,1 Giardino,Ristrutturato,Autonomo,n/d,"115,59 Kwh/mq anno",Mutuo: 1.015.000 €,265.000 euro,Via Tagliaferri,70.0,3.0
