Real Estate,region,province,Location,other,Unknown,title,city,price,real estate agency,area,description,other,other,other,Unknown,immobiliare,address,website,Unknown,other
Subito - Pellegrino & Scozzari - Centro Storico / via Castro Rif. 134/21 - Appartamenti In vendita a Palermo,Sicilia,Palermo (Prov),Palermo,1/7,ID: 531461741,Centro Storico / via Castro Rif. 134/21,Palermo (PA),39.000 €,Pellegrino & Scozzari,80 mq,"Proponiamo in vendita appartamento totalmente da ristrutturare posto al piano terra ed è composto da: 3 ingressi che equivalgono ad ogni vano infatti l'immobile è composto da 3 vani più servizi . Ottimo come investimento , abitazione, casa vacanze, B&B e ci troviamo nella parte tranquilla e silenziosa di via Castro. Prezzo € 39.000 Rif. 134/21. Per informazioni telefonare allo 3519454804(whatsapp) chat diretta live",Da ristrutturare,0,,1,Pellegrino & Scozzari,"Via Generale Sirtori Giuseppe, 25, 90145 Palermo PA, Italia",http://www.pellegrinoescozzari.it/web/,30 annunci online,531461741
,Sicilia,Catania (Prov),Giarre,1/21,ID: 518344713,Appartamento - Giarre,Giarre (CT),58.000 €,RE/MAX AURUM,119 mq,"Rif: 37311003-188
A Giarre, in Via Silvio Pellico, la Remax propone in vendita Appartamento di 4 vani posto al terzo ed ultimo piano con vista panoramica ( senza ascensore) in ex edilizia popolare-Internamente è composto da ingresso su saletta, salone , cucina, lavanderia, due camere da letto, ripostiglio e bagno. 
L'immobile , da ristrutturare ma con infissi recentemente sostituiti , si trova in una zona servita da parecchie attività commerciali e da altrettanti plessi scolastici, sono presenti anche servizi per il cittadino e si trova poca distanza dal Casello Autostradale di Giarre.",-,3,6,,RE/MAX AURUM,"Corso Messina, 57, 95014 Giarre CT, Italia",https://www.remax.it/aurum,156 annunci online,518344713
Subito - Habitas studio immobiliare - Nuovo e rifnito bilocale del 2012 con p auto - Appartamenti In vendita a Cagliari,,,Quartu Sant'Elena,1/18,ID: 531460730,Nuovo e rifnito bilocale del 2012 con p auto,Quartu Sant'Elena (CA),147.000 €,Habitas studio immobiliare,50 mq,"In Via Brigata Sassari, in stabile nuovo e signorile, si propone in vendita un luminoso bivano semiarredato di circa 45 mq. 

Ci troviamo al secondo piano servito da ascensore e l'appartamento è così composto: zona giorno con angolo cottura, disimpegno, un ampio bagno con box doccia e camera da letto matrimoniale. 
Tutti gli ambienti sono dotati di porta finestra che consentono l'accesso su una comoda veranda. 

Posto auto di pertinenza nel cortile condominiale. 

L'appartamento viene ceduto completo degli arredi. 

In dotazione: porta blindata, infissi esterni dotati di vetrocamera e anta a triplice battuta, zanzariere nella zona giorno, porte interne in legno color noce, isolamento termico e acustico a pavimento, rivestimenti bagno e angolo cottura in gres porcellanato. 

Impianto di climatizzazione autonomo con pompa di calore canalizzata Mitsubishi Inverter.

Autoclave con riserva idrica condominiale.

Ape C. 

Zona servitissima dai mezzi pubblici, vicina ai principali svincoli stradali come ad es. viale Marconi e alle principali attività (market, poste, banche, bar etc).

Euro 147000

Habitas Studio Immobiliare
Via Manzoni 33
3756829786",,2,2,1,Habitas studio immobiliare,"Via Alessandro Manzoni, 33, 09128 Cagliari CA, Italia",,12 annunci online,531460730
,Sicilia,Catania (Prov),Catania,1/28,ID: 531457247,Adiacenze via San Giuliano ampio monovano 2-6664,Catania (CT),59.000 €,Giunta Immobiliare,40 mq,"Proponiamo in vendita su via Opificio a pochi passi da via San Giuliano e via Ventimiglia monovano posto a piano terra con ingresso indipendente.

L'immobile è composto da ingresso su vano, a seguire cucinotto e bagno con uscita su corte condominiale.

L'immobile si presta a svariate modifiche e si presenta da completare.

Vista la posizione centrale rappresenta una valida opportunità d'investimento.

COD 6664",Da ristrutturare,0,1,1,Giunta Immobiliare,"Corso Sicilia, 56, 95131 Catania CT, Italia",http://www.giuntaimmobiliare.it,406 annunci online,531457247
,Sicilia,Palermo (Prov),Palermo,1/25,ID: 531461193,Ampio 4 Vani Pressi Pitrè/Boccadifalco,Palermo (PA),49.000 €,Frimm Oreto,96 mq,"Appartamento di 96mq più 40mq di spazi esterni, sito in via Clemente Ravetto zona Boccadifalco a pochi passi dall'Aeronautica Militare., posto al piano rialzato di uno stabile degli anni '60 formato da 3 piani totali senza ascensore. Composto da: ingresso, salone doppio finestrato, camera da letto con finestra su pozzo luce, cameretta finestrata, servizio finestrato con vasca, cucina media con uscita su ampio terrazzo. L'appartamento si presenta allo stato originario, porte in legno, infissi vetro/legno, pavimentazione in ceramica, spese condominiali 20 euro mensili.

PER MAGGIORI INFORMAZIONI contattate l'ufficio immobiliare

FRIMM ORETO

SIAMO APERTI dal LUNEDI al SABATO
orari 9-13 / 15.30-19:30
sabato orario ridotto 9-12

CONTATTI dell'UFFICIO:

0916178003
3899119483

EMAIL: ciaoreto@inwind.it
SITO: palermocercocasa. it",Buono - abitabile,Rialzato,4,1,Frimm Oreto,"Via Oreto, 93, 90127 Palermo PA, Italia",https://www.palermocercocasa.it,77 annunci online,531461193
Subito - Galileo Immobiliare - Casa indipendente e B&B - Appartamenti In vendita a Trapani,Sicilia,Trapani (Prov),Castellammare del Golfo,1/30,ID: 531461490,Casa indipendente e B&B,Castellammare del Golfo (TP),190.000 €,Galileo Immobiliare,140 mq,"Si propone la vendita di un grazioso B&B a Castellammare del Golfo, in via Segesta.
L'immobile è stato interamente ristrutturato, nel 2018, rientra nella categoria 3 stelle, dispone di 3 camere di cui 1 familiare (quadrupla), 1 tripla e 1 doppia con veranda, oltre reception, sala colazione con cucina e bagno di servizio.
Tutte le camere sono dotate di affaccio sul balcone, aria condizionata, bagno privato con doccia, TV, frigobar, arredi come da foto e biancheria.
La metratura totale è di 140 mq così divisi: al piano primo reception, sala colazione, cucina, bagno e una camera con bagno privato; al piano secondo le altre due camere con bagno privato.
L'acqua sanitaria è riscaldata tramite pannello solare, la pavimentazione è in resina grigia, bella e facile da pulire, e gli arredi sono di ottima qualità.

Ottimo investimento per cui la visita è consigliata.
Contattateci",,1,4,Più di 3,Galileo Immobiliare,"Via Madonna del Ponte, 14, 90041 Balestrate PA, Italia",http://www.galileoimmobiliare.com,40 annunci online,531461490
Subito - Ulliana Immobiliare - Monopoli-VISTA MARE- 110 mq- LIBERO - Appartamenti In vendita a Bari,Puglia,Bari (Prov),Monopoli,1/18,ID: 531460830,Monopoli-VISTA MARE- 110 mq- LIBERO,Monopoli (BA),205.000 €,Ulliana Immobiliare,110 mq,"MONOPOLI SUD- In via Lepanto, a 200 metri dalle spiagge libere, in punto strategico, proponiamo in vendita ampio appartamento di 110 mq c.a, al terzo piano in stabile privo di ascensore ( ma scale molto comode e brevi). L'immobile ha una bellissima VISTA MARE, con apertura totale di veduta frontale. E' composta da: ingresso, ampio disimpegno, salone ampio con balcone con vista mare, ampia cucina abitabile con balcone su via Lepanto, due ampie camere e bagno, al piano seminterrato una comoda cantinola. IDEALE ANCHE COME PUNTO DI APPOGGIO IN PUGLIA o COME B&B! Libero subito! BARI- TORRE A MARE- CASA VACANZA PUGLIA- POLIGNANO A MARE- MONOPOLI- CONVERSANO- CASA VACANZA PUGLIA- RUTIGLIANO- NOICATTARO- OSTUNI- MILANO- ROMA- FIRENZE- NAPOLI- BOLOGNA- TORINO- PADOVA- ROMA-",Buono - abitabile,,4,1,Ulliana Immobiliare,via Junipero Serra 13,,43 annunci online,531460830
,Sicilia,Catania (Prov),Catania,1/23,ID: 511769742,Picanello /Via Timoleone 3 vani ristrutturato,Catania (CT),116.000 €,Giunta Immobiliare,70 mq,"Proponiamo in vendita su via Timoleone a pochi a passi da via Spoto appartamento di tre vani totalmente e finemente ristrutturato.

L'immobile è posto a piano terra in piccolo contesto ed è composto da:

ingresso su soggiorno con angolo cottura
piccolo disimpegno
camera da letto con cabina armadio
cameretta
servizio
L'immobile si vende completo di mobilio nuovo.Euro 116.000 CL G SUB 7123",,0,,1,Giunta Immobiliare,"Corso Sicilia, 56, 95131 Catania CT, Italia",http://www.giuntaimmobiliare.it,406 annunci online,511769742
Subito - L'IMMOBILIARE.COM - Pressi via copernico panoramico quadrivano - Appartamenti In vendita a Cagliari,,,,1/1,ID: 531461908,Pressi via copernico panoramico quadrivano,,356.000 €,,,"Via Copernico 'pressi',
in condominio signorile Vi proponiamo un panoramico quadrivano composto da un ampio salone con vista mare, cucina abitabile, tre camere da letto e due bagni.
L'immobile si trova in un piano alto servito di ascensore ed è stato parzialmente ristrutturato. Ha una superficie di 135 mq e una bellissima esposizione solare che lo rende caldo e accogliente. Completa inoltre la proprietà un box auto.
EURO 356.000,00

Per ulteriori informazioni sui nostri immobili, per visionarli se interessati o per trovare, tra le nostre numerose offerte, la soluzione perfetta per le vostre esigenze
visitate il nostro sito
http://www.cagliarisanbenedetto.limmobiliare.com/
oppure chiamateci ai numeri 070/497965-3914736339
e-mail limmobiliaresanbenedetto@gmail.com",Buono - abitabile,3,4,,,,,,531461908
Subito - Immobiliare Collina Loris - Appartamento con terrazzo Porta Maggiore - Appartamenti In vendita a Ascoli Piceno,Marche,Ascoli Piceno (Prov),Ascoli Piceno,1/30,ID: 531459408,Appartamento con terrazzo Porta Maggiore,Ascoli Piceno (AP),168.000 €,Immobiliare Collina Loris,161 mq,"Esclusiva-
Vendesi appartamento con terrazzo, nel ricercato quartiere di Porta Maggiore/ via Milano,ubicato nelle immediate vicinanze di tutti i principali servizi quali scuole, supermercati, palestra, ufficio postale istituti di credito ecc... L' appartamento, termo autonomo e' posto al primo piano del fabbricato, gode di tripla esposizione est/sud/nord e si presenta in buone condizioni. Ingresso, soggiorno, cucina, tinello
Con caminetto, tre camere da letto, doppi servizi. Due ampi balconi e un grande terrazzo.
Completa la proprietà una cantina. Piccola palazzina servita di ascensore e composta da sole 6 unità.
Soluzione molto interessante, in zona richiesta e servitissima. Libero da subito",Buono - abitabile,,-,-,Immobiliare Collina Loris,"Corso Giuseppe Mazzini, 171, 63100 Ascoli Piceno AP, Italia",http://www.immobiliarecollinaloris.it,26 annunci online,531459408
