DateTime,EventName,Location
2020-10-29T18:30:00-05:00,Bunco-Rama,St. Anne's Parish Hall
2020-10-03T19:00:00-05:00,FC Tulsa -vs- Colorado Springs Switchbacks FC,ONEOK Field
2020-09-26T19:00:00-05:00,Iliza Shlesinger,Tulsa Theater (formerly Brady Theat ...
2021-04-24T20:00:00-05:00,80s Prom 2020,Cain's Ballroom
2020-09-28-05:00:00,Intro to Memoir Writing Workshop - Hosted by Center for ...,Workshop offered remotely
2020-10-15T20:00:00-05:00,Jimmy Buffett & The Coral Reefer Band / CANCELED,Chesapeake Energy Arena
2020-09-30-05:00:00,Motion Picture Storytelling - Part of the 2020 Fall Wor ...,Offered remotely through Center for Poets & Writers at OSU-Tulsa
2020-10-03-05:00:00,BRICKS IN THE WALL - THE SIGHT AND SOUND OF PINK FLOYD,Tower Theatre - OKC
2020-10-04T00:00:00Z,BRICKS IN THE WALL - THE SIGHT AND SOUND OF PINK FLOYD,Tower Theatre - OKC
2020-10-16T01:00:00Z,Jimmy Buffett & The Coral Reefer Band / CANCELED,Chesapeake Energy Arena
2020-11-12T01:30:00Z,Neil DeGrasse Tyson,Civic Center Music Hall
2021-02-13T02:00:00Z,John Moreland,Tower Theatre - Oklahoma City
2021-05-02T01:00:00Z,Adam Ant,Tower Theatre - Oklahoma City
2020-08-13T19:00:00-05:00,Tulsa Drillers vs. Springfield Cardinals,ONEOK Field
2020-10-23T19:00:00-05:00,The Commodores,Osage Casino Hotel - Tulsa
2020-09-17T19:00:00-05:00,Six String Salute,Virtual Event
2020-08-13T19:30:00-05:00,truTV's Impractical Jokers / NEW DATE,Chesapeake Energy Arena
2021-04-24T20:00:00-05:00,80s Prom 2020,Cain's Ballroom
2020-08-10T20:45:00-05:00,Back to the Future,Admiral Twin Drive-In
2020-10-07T20:00:00-05:00,Citizen Cope,Diamond Ballroom OKC
2020-12-12T19:00:00-06:00,Oklahoma VS Arkansas - Men's Basketball,BOK Center
2020-09-12T19:00:00-05:00,Rooster Days,Broken Arrow
2020-04-26T20:00:00-05:00,Electric Six,The Vanguard
2020-09-11T11:30:00-05:00,Blue Star Mothers of America 17th Annual Charity Golf Tournament,Battle Creek Golf Club
2020-10-03T17:00:00-05:00,Texas Hippie Coalition,Diamond Ballroom OKC
2020-10-18T19:30:00-05:00,Buckcherry,Diamond Ballroom OKC
2020-10-16T20:00:00-05:00,Jim Breuer,Diamond Ballroom OKC
