Name,Name,Name,Rating,Number of Photos,Name,Annotation in webpage,Other,Other,Rating,Other,Other,Other,Other,Phone Number,Additional information,Additional informations,Address,Address,Opening hours,Annotation in webpage,Other,Labels/actions,Other,Other,Other,Other,Other,Other,Other
"Le Nasse Lab - Ristorante di pesce e sushi - Cioccolateria e sala da té, Municipio Roma X - Menu e recensioni del ristorante",Le Nasse Lab - Ristorante di pesce e sushi - Cioccolateria e sala da té,Le Nasse Lab - Ristorante di pesce e sushi - Cioccolateria e sala da té,#2 di 1029,108 foto,lunch Price     dine in Meal     della materia prima     vale la pena     lo consiglio vivamente,Valutazioni di Le Nasse Lab - Ristorante di pesce e sushi - Cioccolateria e sala da té,136.0,50.0,5,15.0,Opinioni dei clienti di Le Nasse Lab - Ristorante di pesce e sushi - Cioccolateria e sala da té,119.0,"Richiedere la rimozione di informazioni          Elena Tittarelli   6 mesi fa su Google              Pesce veramente molto buono e piatti particolari ad un prezzo onesto. Il cameriere è gentilissimo!    Meal type:   Lunch     Price per person:   €10–20     Food:   5     Service:   5     Atmosphere:   5                Richiedere la rimozione di informazioni          Cinzia Petronici   6 mesi fa su Google              Piccolo ristorante senza pretese. La disposizione dei tavoli all' interno del locale risulta un po' scomoda. L'esecuzione dei cibi, seppur con alcune imprecisioni, è nel complesso buona. Creativi gli abbinamenti, in particolare gli spaghettoni con ricci, menta e pecorino.    Service:   Dine in     Meal type:   Dinner     Price per person:   €20–30     Food:   3     Service:   3     Atmosphere:   2             b       Richiedere la rimozione di informazioni          bruno barozzi   un anno fa su Restaurant Guru             fuori dal traffico, fronte pineta, servizio accurato, staff professionale, stoviglieria di qualità, ma sopratutto ottimo cibo , pesce a gogo , poca scelta ma di qualità   una cheesecake  e un cuore caldo al cioccolato strepitosi, porzioni generose,. in quanto ai prezzi, antipasto, secondo contorno dessert 1 bottiglia di vino e minerale 37 euri , da   non perdere BRAVIII                + 1 foto           1     0    |   Rispondere",+39 342 510 0537,,€20 - €50,"Via Isole Samoa, 23a","Via Isole Samoa, 23a, Municipio Roma X, Lazio, Italia",Chiuso,,Longo Bistrò,#1705 di 8388  pizzerie a Roma,Ristorante Le Azzorre,#169 di 17366 ristoranti  a Roma,Bar Raffaele,#983 di 12047  caffè a Roma,Trattoria Da Noantri,#272 di 8892 ristoranti italiani a Roma,NewMix Risto-Bistrot   #45 di 17366 ristoranti  a Roma
"Mi Sushi e Ramen ristorante, Ciampino - Menu e recensioni del ristorante",Mi Sushi e Ramen,Mi Sushi e Ramen,#2 di 172,104 foto,gaia     just     alessio     gli uramaki     consegna a domicilio     ci andrò     e alla moda     di ritardo     gli involtini     the fork,Valutazioni di Mi Sushi e Ramen,597.0,91.0,"4,5",51.0,Opinioni dei clienti di Mi Sushi e Ramen,227.0,"Richiedere la rimozione di informazioni          Viola De Monte   6 mesi fa su Google              L’ordine è arrivato mezz’ora dopo e senza nemmeno avvisare (ho dovuto chiamare io il ristorante per capire dove fosse perché l’app continuava a segnare serenamente la consegna in orario per le 21.30 anche alle 22). Arrivato l’ordine mancava una pietanza, ho chiamato di nuovo il ristorante per farlo presente e mi hanno detto che se avessi scritto loro su whatsapp mi avrebbero emesso un buono, e invece mi hanno liquidata con una faccina sorridente e un pollicione all’insù e chi s’è visto s’è visto. Sicuramente errore mio non aver controllato prima che il ragazzo andasse via ma l’ordine mi è stato praticamente lanciato con gran fretta e non me la sentivo di bloccarlo ancora e ritardare altre consegne, peggio sicuramente per me che ho provato ad esser gentile e ho lasciato anche la mancia. Premetto che al telefono ho anche detto loro che non me la sentivo di far fare di nuovo tutta la strada avanti e indietro al loro corriere per una pietanza soltanto, ma non va bene neanche essere presi in giro e trattati in modo condiscendente, a prescindere dal valore della pietanza in questione: è una questione di professionalità. Non professionali e il cibo era ordinario, senza lode senza infamia. Non consiglio e non ordinerei più.    Service:   Delivery     Meal type:   Dinner     Price per person:   €10–20     Food:   2     Service:   1     Atmosphere:   1             F       Richiedere la rimozione di informazioni          Fabiola   un anno fa su Restaurant Guru             IL miglior ristorante giapponese è cinese che abbia mai provato. Servizio impeccabile e piatti ben presentati, gustosissimi. Spero che aprano presto a Roma        1     0    |   Rispondere                Richiedere la rimozione di informazioni          Rod Nextdoor   3 anni fa su Google             Been in so many restaurants especially asians, I can definitely rate mi sushi e ramen is on top, their foods and drinks are incomparable, superb taste, well presented, I like their creativity especially in cocktail drinks, staffs especially owner are very accommodating, and big clap to mike, such a nice and helpful too, definitely will back again!!!! Owww aperitivos, its a extra wow and big YES for me",+39 388 888 7777,Apre alle 11:00,€9 - €23,"Via di Morena, 197","Via di Morena, 197, Ciampino, Lazio, Italia",11:00-01:00,facebook.com,Zen Garden,#16 di 172 ristoranti  a Ciampino,Ristorante Paradiso Cinese,#19 di 172 ristoranti  a Ciampino,Ristorante Cinese Fu Guo,#37 di 172 ristoranti  a Ciampino,Justin Wok Sushi,#7 di 13  ristoranti di sushi  a Ciampino,Ristorante Al Vigneto dal 1961   #1 di 172 ristoranti  a Ciampino         Ariò Pizza Food Delivery   #57 di 521  pizzerie a Municipio Roma X         Pesce Fritto e Baccalà   #2 di 190  ristoranti di pesce a Lido di Ostia
"Mi Sushi e Ramen ristorante, Ciampino - Menu e recensioni del ristorante",Mi Sushi e Ramen,Mi Sushi e Ramen,#2 di 172,104 foto,gaia     just     alessio     gli uramaki     consegna a domicilio     ci andrò     e alla moda     di ritardo     gli involtini     the fork,Valutazioni di Mi Sushi e Ramen,597.0,91.0,"4,5",51.0,Opinioni dei clienti di Mi Sushi e Ramen,227.0,"Richiedere la rimozione di informazioni          Viola De Monte   6 mesi fa su Google              L’ordine è arrivato mezz’ora dopo e senza nemmeno avvisare (ho dovuto chiamare io il ristorante per capire dove fosse perché l’app continuava a segnare serenamente la consegna in orario per le 21.30 anche alle 22). Arrivato l’ordine mancava una pietanza, ho chiamato di nuovo il ristorante per farlo presente e mi hanno detto che se avessi scritto loro su whatsapp mi avrebbero emesso un buono, e invece mi hanno liquidata con una faccina sorridente e un pollicione all’insù e chi s’è visto s’è visto. Sicuramente errore mio non aver controllato prima che il ragazzo andasse via ma l’ordine mi è stato praticamente lanciato con gran fretta e non me la sentivo di bloccarlo ancora e ritardare altre consegne, peggio sicuramente per me che ho provato ad esser gentile e ho lasciato anche la mancia. Premetto che al telefono ho anche detto loro che non me la sentivo di far fare di nuovo tutta la strada avanti e indietro al loro corriere per una pietanza soltanto, ma non va bene neanche essere presi in giro e trattati in modo condiscendente, a prescindere dal valore della pietanza in questione: è una questione di professionalità. Non professionali e il cibo era ordinario, senza lode senza infamia. Non consiglio e non ordinerei più.    Service:   Delivery     Meal type:   Dinner     Price per person:   €10–20     Food:   2     Service:   1     Atmosphere:   1             F       Richiedere la rimozione di informazioni          Fabiola   un anno fa su Restaurant Guru             IL miglior ristorante giapponese è cinese che abbia mai provato. Servizio impeccabile e piatti ben presentati, gustosissimi. Spero che aprano presto a Roma        1     0    |   Rispondere                Richiedere la rimozione di informazioni          Rod Nextdoor   3 anni fa su Google             Been in so many restaurants especially asians, I can definitely rate mi sushi e ramen is on top, their foods and drinks are incomparable, superb taste, well presented, I like their creativity especially in cocktail drinks, staffs especially owner are very accommodating, and big clap to mike, such a nice and helpful too, definitely will back again!!!! Owww aperitivos, its a extra wow and big YES for me",+39 388 888 7777,Apre alle 11:00,€9 - €23,"Via di Morena, 197","Via di Morena, 197, Ciampino, Lazio, Italia",11:00-01:00,facebook.com,Zen Garden,#16 di 172 ristoranti  a Ciampino,Ristorante Paradiso Cinese,#19 di 172 ristoranti  a Ciampino,Ristorante Cinese Fu Guo,#37 di 172 ristoranti  a Ciampino,Justin Wok Sushi,#7 di 13  ristoranti di sushi  a Ciampino,Hostaria Santa Maria   #2 di 284 ristoranti  a Frascati         Rolinho Sushi Fusion ciampino   #58 di 172 ristoranti  a Ciampino         Trattoria I Belloni   #3 di 172 ristoranti  a Ciampino
"Metamorfosi pizzeria, Roma, Via Livio Andronico 2 - Menu e recensioni del ristorante","Metamorfosi, Via Livio Andronico 2",Metamorfosi,,,,Valutazioni di Metamorfosi,,4.0,5,1.0,Opinioni dei clienti di Metamorfosi,3.0,,+39 06 3972 5841,,,"Via Livio Andronico 2, 00136","Via Livio Andronico 2, Roma, Lazio, Italia, 00136",06:30-22:30,,Bar Pizzeria Zeus,#5126 di 8385  pizzerie a Roma,Spiano Pizza,#5132 di 8385  pizzerie a Roma,L'Eggizziano,#5316 di 8385  pizzerie a Roma,ciccio pizza e mozzarella,#5146 di 8385  pizzerie a Roma,Ristorante Il Tettuccio   #20 di 284 ristoranti  a Frascati         Cantina Il Pergolato   #20 di 144 ristoranti italiani a Frascati         La Vecchia Locanda Frascati   #5 di 95  pizzerie a Frascati
"La Vecchia Locanda Frascati pizzeria, Frascati - Menu e recensioni del ristorante",La Vecchia Locanda Frascati,La Vecchia Locanda Frascati,#5 di 95,189 foto,"area playground     dei castelli romani     di bisonte     la sbriciolata     danese     menù fissi     ortolana     david    spazzatura', anzi,  mi piace scegliere il cibo più sano guardando zuccheri... ' data-words='spazzatura'> spazzatura     una tagliata di scottona",Valutazioni di La Vecchia Locanda Frascati,1336.0,575.0,"4,5",183.0,Opinioni dei clienti di La Vecchia Locanda Frascati,350.0,"Richiedere la rimozione di informazioni          Salvatore Pace   6 mesi fa su Google              Da sempre una garanzia di buon cibo, ottimo servizio e ottimo rapporto qualità/prezzo. Consigliatissimo!!!    Meal type:   Dinner     Price per person:   €30–40     Food:   5     Service:   5     Atmosphere:   5      L    Response from the owner   6 mesi fa    Tante Grazie e a presto     Show replies   (1)               Richiedere la rimozione di informazioni          Manolo Urbani   6 mesi fa su Google              La seconda volta che ci andiamo e devo dire che sia la pizza che i primi sono ottimi ...torneremo per provare la carne    Food:   5     Service:   5     Atmosphere:   5                Richiedere la rimozione di informazioni          Emanuela Tisbi   6 mesi fa su Google              Non credo di tornarci di nuovo. Avevamo preventivato di prendere un menù di Pizza No Stop e invece essendo in 6 ci è stato comunicato che era possibile da 20 persone in su, cmq abbiamo optato per antipasto e pizza, l'antipasto è arrivato immediatamente, mentre per la pizza abbiamo dovuto attendere poco più di 1 ora, quindi i bambini si sono iniziati ad agitare. Inoltre era pieno di gente, i giochi erano impraticabili x la calca che c'era (credo una scolaresca) ed esternamente non c'è spazio per poter fare altro perché il parcheggio era stracolmo di auto. Tra l'altro ho visto il titolare (credo) dare la mancia al parcheggiatore davanti ai clienti che erano a prendere un po di aria davanti l'entrata del locale e l'ho trovata una cosa spiacevole da vedere. La pizza non era ben cotta quindi non l'ho digerita e cmq hanno una scelta sui soliti gusti, non mi sembra di aver trovato nulla che possa creare attrazione a livello culinario. Insomma, a mio parere, una dei tanti ristoranti che mirano alla quantità dei clienti. Non ci tornerei e non lo consiglierei    Food:   3     Service:   1     Atmosphere:   1",+39 393 889 1264,Apre alle 19:00,€10 - €35,"Via di Pietra Porzia, 32","Via di Pietra Porzia, 32, Frascati, Lazio, Italia",19:00-23:00,lavecchialocanda.business.site,La Vignetta,#7 di 95  pizzerie a Frascati,Giardino L'olivella,#62 di 263  pub e bar a Frascati,Ristorante Accademia Frascati,#12 di 143 ristoranti italiani a Frascati,Hinterland Bar Gelateria Artigianale,#5 di 263  pub e bar a Frascati,Pizza Idea 1   #2 di 95  pizzerie a Frascati         Ninfa Restaurant   #3 di 284 ristoranti  a Frascati         Ristorante Cavour   #1 di 284 ristoranti  a Frascati
"Menu di La Pergola, Roma, Via Alberto Cadlolo - recensioni e valutazioni del ristorante italiano","La Pergola, menu","La Pergola, menu",#1 di 17369,444 foto,,Valutazioni di La Pergola,1094.0,2648.0,"4,3",874.0,Opinioni dei clienti di La Pergola,544.0,"b       Richiedere la rimozione di informazioni          bohar31721   4 mesi fa su Restaurant Guru        nice!        0     0    |   Rispondere                Richiedere la rimozione di informazioni          Mauro Duello   6 mesi fa su Google              Non andateci sono molto arroganti ed il cibo è scadente,se siete dei vip sicuramente avrete un trattamento adeguato    Food:   1     Service:   1     Atmosphere:   1                Richiedere la rimozione di informazioni          Silvio Marino   3 anni fa su Google             Difficile recensire La Pergola, si rischia di dire cose banali.Posso solo confermare che è un’esperienza indimenticabile, per location, menu e servizio.Complimenti.",+39 06 3509 2152,Apre alle 19:30,€250 - €290,"Via Alberto Cadlolo, 101","Via Alberto Cadlolo, 101, Roma, Lazio, Italia",Chiuso,romecavalieri.com,Prosciutteria Alcolica menu,#5523 di 17369 ristoranti  a Roma,Rione XIV Bistrot menu,#700 di 17369 ristoranti  a Roma,Su e Giù menu,#16 di 17369 ristoranti  a Roma,Il Treppio menu,#2220 di 14717  pub e bar a Roma,Pinsere   #2 di 8388  pizzerie a Roma         Pizza Zizza Roma   #3 di 8388  pizzerie a Roma         Pizza e Mozzarella   #1 di 8388  pizzerie a Roma
"Pinsere pizzeria, Roma, Via Flavia - Menu e recensioni del ristorante","Pinsere, Via Flavia, 98",Pinsere,#2 di 8385,500 foto,di piazza sallustio     via Flavia     via Bosi     delle mensole     ottima La Campionessa con crema     close at 4pm     villa Borghese     la vera pinsa romana     chiodini     light and fluffy,Valutazioni di Pinsere,2908.0,4269.0,"4,7",665.0,Opinioni dei clienti di Pinsere,1686.0,"T       Richiedere la rimozione di informazioni          Thrashing Jane   7 mesi fa su Google              Spettacolo! Dalla simpatia al cibo, consigliatissimo!!!    Service:   Dine in     Meal type:   Lunch     Food:   5     Service:   5     Atmosphere:   5           D       Richiedere la rimozione di informazioni          Dario Roscioli   7 mesi fa su Google              Personale gentilissimo e molto affabile. Consiglio vivamente di andarci    Price per person:   €1–10           M       Richiedere la rimozione di informazioni          Maurizio Schiavone   3 anni fa su Google             Sono un pugliese andato a Roma per un weekend con la mia ragazza, caso ha voluto che alloggiassimo all'albergo di fianco al pinsere, e menomale direi. La migliore pinsa che abbia mai assaggiato, leggera, soffice, croccante ai bordi, ingredienti top. E lui che sta al banco, simpaticissimo e socievole. Ora so dove andare quando torno a Roma.",+39 06 4202 0924,Apre alle 10:00,€5 - €7,"Via Flavia, 98","Via Flavia, 98, Roma, Lazio, Italia",10:00-21:00,facebook.com,I Commensali,#8101 di 17369 ristoranti  a Roma,Piccolo Buco (NO PRENOTAZIONI-NO RESERVATIONS),#12 di 8385  pizzerie a Roma,Il Nipotino del Solitario,#442 di 17369 ristoranti  a Roma,DEROMA - Farine Romane,#423 di 8901 ristoranti italiani a Roma,Alfredo e Ada   #188 di 17366 ristoranti  a Roma         Da Enzo         Colline Emiliane   #4 di 17366 ristoranti  a Roma
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NewMix Risto-Bistrot ristorante, Municipio Roma X - Menu e recensioni del ristorante",NewMix Risto-Bistrot,NewMix Risto-Bistrot,,123 foto,a Dragoncello     alessio e Massimo     la perizia     la tempura di verdure     lime     e menta     garbo     guanciale     gioia     curato nei minimi dettagli,Valutazioni di NewMix Risto-Bistrot,170.0,88.0,5,63.0,Opinioni dei clienti di NewMix Risto-Bistrot,150.0,"A       Richiedere la rimozione di informazioni          Antennista Roma   un anno fa su Google             È la seconda volta che ci veniamo, cibo sempre ottimo, dolci fantastici e personale più che cortese.Grazie mille.         D       Richiedere la rimozione di informazioni          Denny De Angelis   un anno fa su Google             Uno scrigno sicuro, perfetta alchimia di sapori classici e moderni serviti da sorriso e gentilezza rassicuranti !Il nostro ristorante preferito.         G       Richiedere la rimozione di informazioni          Gabriella Martelli   un anno fa su Google             Cucina ricercata ma leggera. Ottime materie prime cucinate in maniera tutt'altro che banale. Il personale è gentile e professionale. Prezzi più che onesti per ciò che propongono. 5 stelle meritatissime.... sicuramente torneremo!",+39 06 8892 1578,,,"Via Ottone Fattiboni, 120","Via Ottone Fattiboni, 120, Municipio Roma X, Lazio, Italia",06:30-00:00,newmix.business.site,Memè Hosteria,#3704 di 17369 ristoranti  a Roma,Pizza120 di Paganelli Alvaro,#61 di 8385  pizzerie a Roma,La Fraschetta,#180 di 17369 ristoranti  a Roma,Famelico Restaurant,#192 di 17369 ristoranti  a Roma,
"Cantina Il Pergolato ristorante, Frascati - Menu e recensioni del ristorante",Cantina Il Pergolato,Cantina Il Pergolato,#20 di 143,183 foto,gli stornelli     display     la cantante lirica     alla matriciana     scaldare     come una mensa     tedeschi     tipici dei castelli romani     fraschetteria     tour group,Valutazioni di Cantina Il Pergolato,1182.0,404.0,"4,2",155.0,Opinioni dei clienti di Cantina Il Pergolato,360.0,"Richiedere la rimozione di informazioni          Stefano Lombardelli   5 mesi fa su Google             Si mangia bene ed hanno una birra rossa artigianale di Frascati davvero buona. Complessivamente buono    C    Response from the owner   5 mesi fa    Grazie     Show replies   (1)               Richiedere la rimozione di informazioni          kelly castro   5 mesi fa su Google             Ormai...la mia casa    C    Response from the owner   5 mesi fa    Bellissimo     Show replies   (1)               Richiedere la rimozione di informazioni          Rap Italy   5 mesi fa su Google              Deve essere cambiata la gestione, e con essa anche i cuochi ,prima mi partivo da Bracciano per andare a Frascati a mangiare qui...ma questa è la seconda volta che non è più buono come prima...non credo che ci ritorneremo!    Service:   Dine in     Meal type:   Lunch     Food:   2     Service:   2     Atmosphere:   4     Recommended dishes:   Mezze Maniche Alla Carbonara      C    Response from the owner   5 mesi fa    mi dispiace moltissimo se la sua esperienza non l'abbia soddisfatta alcune cose sono cambiate, ma in senso contrario, c'è più attenzione verso il cliente rispetto ai pranzi di un anno fa i cuochi sono gli stessi di sempre comunque non mancheremo di far presente il suo appunto alla cucina e ci miglioreremo ;) More     Show replies   (1)",+39 06 942 0464,,€10 - €20,"Via del Castello, 20","Via del Castello, 20, Frascati, Lazio, Italia",12:30-22:30,cantinailpergolato.it,Hotel e Ristorante Il Pinocchio,#8 di 95  pizzerie a Frascati,Osteria Il Grappolo D'Oro,#32 di 263  pub e bar a Frascati,Alice Pizza – Consegne a Domicilio,#15 di 95  pizzerie a Frascati,Il Fornaretto di Amadei,#26 di 95  pizzerie a Frascati,La Vecchia Locanda Frascati   #5 di 95  pizzerie a Frascati         Pizza Idea 1   #2 di 95  pizzerie a Frascati         Ninfa Restaurant   #3 di 284 ristoranti  a Frascati
